OTU_IDs	Poiss_Coeff	Poiss_pval	Poiss_qval	NB_Coeff	NB_pval	NB_qval	ZINB_Coeff	ZINB_pval	ZINB_qval	mean in group Lean	mean in group Not_Lean	Lean_minus_Not_Lean_mean	ttest_pval	ttest_qval	KW_pval	KW_qval	NB_Coeff_Estimate_Error	# of 0's in Lean	# of 0's in Not_Lean	# of non-zeroes in Lean	# of non-zeroes in Not_Lean	Total count in Lean	Total count in Not_Lean	mean_otu	variance_otu	var/mean ratio	Shapiro_Wilk_Normality_pvalue	taxonomy	pois_filt_pval	pois_filt_qval	nb_filt_pval	nb_filt_qval	zinb_filt_pval	zinb_filt_qval	aic.pois	aic.nb	aic.zinb	bic.pois	bic.nb	bic.zinb	aic.filt.pois	aic.filt.nb	aic.filt.zinb	bic.filt.pois	bic.filt.nb	bic.filt.zinb	aic.nonfilt.best	bic.nonfilt.best	aic.filt.best	bic.filt.best
350091	0.404906204910415	3.22790665463715e-08	3.47063506843073e-07	0.404906204906204	0.00267845742339752	0.0897529720650138	0.404907992653093	0.0026785542547803	0.0770091795758591	1.0327868852459	0.418181818181818	0.614605067064083	0.0266119077797067	0.527403331049286	0.0111912055157526	0.157298007961642	no	38	167	23	53	63	92	0.551601423487544	1.96964921199797	3.57078341013825	8.21586536074422e-29	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.00905379062292532	0.353227174160129	0.051965674067117	0.486130499337546	0.0459861011395796	0.428289833978978	666.878482645999	532.976882100196	534.977156412843	674.155191984666	543.891946108198	549.530575090178	473.740301554361	450.386409061162	451.905687742965	481.017010893028	461.301473069163	466.4591064203	NB	NB	NB	NB
177593	1.10909090882455	0.926212000470038	0.997505844537157	1.10909090909091	0.93940140547221	0.999996762100542	1.26406316786689	0.856197405643104	0.999853324140808	0.0163934426229508	0.0181818181818182	-0.00178837555886736	0.928156384762324	0.953510733410706	0.875862341266627	0.932357960733784	no	60	217	1	3	1	4	0.0177935943060498	0.0246822572445348	1.38714285714286	1.82212556639551e-34	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	1	1	NA	NA	NA	NA	55.6667075713263	53.0915250645997	54.775421591263	62.9434169099938	64.0065890726009	69.328840268598	4.00000000076939	NA	NA	11.2767093394369	NA	NA	NB	Poisson	Poisson	Poisson
4072210	1.38636363493329	0.765530040996756	0.997505844537157	1.38636363636364	0.795269070236042	0.999996762100542	1.46751576876958	0.754813572964087	0.999853324140808	0.0163934426229508	0.0227272727272727	-0.00633383010432191	0.755409985682915	0.852028282547736	0.922562989648777	0.951612424116452	no	60	216	1	4	1	5	0.0213523131672598	0.0281138790035587	1.31666666666667	3.09244849079343e-34	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__	1	1	NA	NA	NA	NA	63.4499384286491	61.6429776122529	63.3791602983863	70.7266477673166	72.5580416202541	77.9325789757212	4.00000000076661	NA	NA	11.2767093394341	NA	NA	NB	Poisson	Poisson	Poisson
289679	0.00390524968792572	3.65075840143061e-08	3.88702580674737e-07	0.0039052496798974	1.15479468289719e-05	0.00180213958799556	0.00388898413379995	5.62327176996806e-07	0.00018060625802368	1.16393442622951	0.00454545454545455	1.15938897168405	0.0196731431540952	0.527403331049286	4.44770319356337e-06	0.00124194163411744	no	54	219	7	1	71	1	0.256227758007117	3.2912557193696	12.8450396825397	5.73060162872859e-34	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__	1	1	NA	NA	NA	NA	376.624717888102	112.539669780329	108.603667936046	383.90142722677	123.45473378833	123.157086613381	4.00000000075828	NA	NA	11.2767093394258	NA	NA	ZINB	ZINB	Poisson	Poisson
232900	0.0231060606527336	0.000294649026503567	0.00182884212303586	0.0231060606060598	0.0223532092905367	0.290787781555325	0.0225831684468984	0.0183221419146126	0.234283126121877	0.19672131147541	0.00454545454545455	0.192175856929955	0.292221389352889	0.527403331049286	0.0573503843750422	0.314025307552401	no	59	219	2	1	12	1	0.0462633451957295	0.43713777325877	9.4489010989011	4.20327172458833e-35	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__	1	1	NA	NA	NA	NA	114.8150839297	47.1389719613483	49.1237715724252	122.091793268367	58.0540359693496	63.6771902497602	4.00000000077217	NA	NA	11.2767093394397	NA	NA	NB	NB	Poisson	Poisson
174960	7.31801947900313	4.74510413256607e-25	1.32911583446543e-23	7.31801948051937	4.61360727474883e-06	0.00089998296195279	7.31797807900638	4.61398699413946e-06	0.000839745632933382	0.459016393442623	3.35909090909091	-2.90007451564829	0.000107368301403389	0.0765292397539901	3.63484292523328e-05	0.00431598088209221	no	54	135	7	85	28	739	2.72953736654804	77.8123029994916	28.5075060532688	1.43534773167589e-30	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__	2.88143548209566e-05	0.00286152738240118	0.000507987461445364	0.0420903896626159	0.000357151896433245	0.0295925857044689	3072.14885646223	859.732394592142	861.732769173482	3079.42556580089	870.647458600143	876.286187850817	520.625521428455	454.434307263351	449.822381019182	527.902230767122	465.349371271352	464.375799696517	NB	NB	ZINB	ZINB
197329	24338495.5855391	0.995863862641954	0.997505844537157	66158890.2785497	0.997343794302345	0.999996762100542	24363493.8594948	0.997492443223329	0.999853324140808	0	0.0136363636363636	-0.0136363636363636	0.0832612872226695	0.527403331049286	0.360026018344259	0.745183545897382	yes	61	217	0	3	0	3	0.0106761565836299	0.0105998983223183	0.992857142857143	1.15824626554639e-34	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__	1	1	NA	NA	NA	NA	35.7700916144596	37.7702052476998	39.7702343415713	43.0468009531271	48.685269255701	54.3236530189062	4.00000000077217	NA	NA	11.2767093394397	NA	NA	Poisson	Poisson	Poisson	Poisson
220122	21003533.9564644	0.981625280493792	0.997505844537157	2893576498032096	0.999996694093419	0.999996762100542	125426811.379702	0.994955578072187	0.999853324140808	0	0.236363636363636	-0.236363636363636	0.0819982546748889	0.527403331049286	0.235669788093699	0.68835742383304	yes	61	215	0	5	0	52	0.185053380782918	3.15849008642603	17.0679945054945	1.33168064094885e-34	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	1	1	NA	NA	NA	NA	454.042429316021	455.967443107191	88.4670927761282	461.319138654689	466.882507115192	103.020511453463	4.00000000076661	NA	NA	11.2767093394341	NA	NA	ZINB	ZINB	Poisson	Poisson
181543	2.21818181566346	0.452568050350032	0.889182356874298	2.2181818181818	0.512671602036102	0.999996762100542	2.3190021858746	0.477145042179472	0.999853324140808	0.0163934426229508	0.0363636363636364	-0.0199701937406855	0.378557157193872	0.580722609168554	0.62547649341148	0.773010100301346	no	60	214	1	6	1	8	0.0320284697508897	0.0453990849008643	1.41746031746032	7.75692953564824e-34	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	1	1	NA	NA	NA	NA	86.0213125253468	80.8738325359826	82.1436999008986	93.2980218640143	91.7888965439838	96.6971185782336	4.00000000076106	NA	NA	11.2767093394285	NA	NA	NB	NB	Poisson	Poisson
299407	8953632.1547689	0.993581661973083	0.997505844537157	24338495.583311	0.995863862641863	0.999996762100542	128799087.666163	0.998802635069589	0.999853324140808	0	0.0136363636363636	-0.0136363636363636	0.318414134768154	0.527403331049286	0.598494364974918	0.768187528833386	yes	61	219	0	1	0	3	0.0106761565836299	0.0320284697508897	3	3.12221386969758e-35	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	1	1	NA	NA	NA	NA	39.3536106703674	41.3508034330189	23.6629536846976	46.6303200090349	52.2658674410201	38.2163723620326	4.00000000077772	NA	NA	11.2767093394452	NA	NA	ZINB	ZINB	Poisson	Poisson
