OTU_ID	rel_enrich	threemod	en0.1	en0.2	en0.3	en0.4	en0.5	en0.6	en0.7	en0.8	en0.9	en1	Phylum	Family	Genus	Species
OTU_48633	108.5915009	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Staphylococcaceae	Jeotgalicoccus	Unassigned
OTU_24069	6.623925325	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Actinobacteria	Corynebacteriaceae	Corynebacterium	Unassigned
OTU_47726	223.5124048	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Proteobacteria	Pseudomonadaceae	Pseudomonas	Unassigned
OTU_26484	9.991648244	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	Sphingomonadaceae	Sphingobium	Unassigned
OTU_936	12.7617293	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Thermi	Deinococcaceae	Deinococcus	Unassigned
OTU_50092	41.72439204	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	Rhizobiaceae	Agrobacterium	Unassigned
OTU_9012	0.291328912	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Cyanobacteria	Unassigned	Unassigned	Unassigned
OTU_414	79.80373373	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Bacteroidetes	Bacteroidaceae	Bacteroides	acidifaciens
OTU_9467	0.107835913	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Firmicutes	Unassigned	Unassigned	Unassigned
OTU_8515	0.220584623	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Clostridiaceae	Oxobacter	Unassigned
OTU_198	83.88184721	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	Acetobacteraceae	Roseomonas	mucosa
OTU_43054	2.526651928	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	Firmicutes	Bacillaceae	Unassigned	Unassigned
OTU_38584	2.162859248	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Staphylococcaceae	Staphylococcus	Unassigned
OTU_705	6.70351265	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Clostridiaceae	Clostridium	Unassigned
